date,underlying,strike,days_to_expiry,option_type,option_price,spot,risk_free_rate,implied_vol,maturity_years,moneyness
2015-01-02,SPX,1400.2972536995962,7,p,13.827573824148947,2000.4246481422808,0.03,0.1426110431573664,0.019178082191780823,0.6999999999999998
2015-01-02,SPX,2100.445880549395,90,c,45.51671145519906,2000.4246481422808,0.03,0.1309199447062534,0.2465753424657534,1.05
2015-01-02,SPX,2000.424648142281,90,c,41.52705919152354,2000.4246481422808,0.03,0.1194444879551283,0.2465753424657534,1.0000000000000002
2015-01-02,SPX,1900.4034157351668,90,p,44.87087327052079,2000.4246481422808,0.03,0.1290623171069816,0.2465753424657534,0.9500000000000001
2015-01-02,SPX,1800.3821833280529,90,p,45.606239592719774,2000.4246481422808,0.03,0.1311774549357743,0.2465753424657534,0.9
2015-01-02,SPX,1700.3609509209386,90,p,48.03421406887298,2000.4246481422808,0.03,0.1381610500594915,0.2465753424657534,0.85
2015-01-02,SPX,1600.339718513825,90,p,46.84772843628686,2000.4246481422808,0.03,0.1347483555029915,0.2465753424657534,0.8000000000000002
2015-01-02,SPX,1500.3184861067105,90,p,47.82347838585344,2000.4246481422808,0.03,0.1375549099609102,0.2465753424657534,0.7499999999999999
2015-01-02,SPX,1400.2972536995962,90,p,56.329371688892486,2000.4246481422808,0.03,0.1620204533912004,0.2465753424657534,0.6999999999999998
2015-01-02,SPX,2600.552042584966,60,c,40.440336639949415,2000.4246481422808,0.03,0.1424607832590251,0.1643835616438356,1.3000000000000005
2015-01-02,SPX,2500.5308101778514,60,c,38.69913368701223,2000.4246481422808,0.03,0.1363269783232047,0.1643835616438356,1.2500000000000002
2015-01-02,SPX,2400.509577770737,60,c,37.66687599230591,2000.4246481422808,0.03,0.1326906030619823,0.1643835616438356,1.2
2015-01-02,SPX,2300.4883453636235,60,c,39.658556790080056,2000.4246481422808,0.03,0.1397067762699118,0.1643835616438356,1.1500000000000004
2015-01-02,SPX,2200.467112956509,60,c,40.63112671157074,2000.4246481422808,0.03,0.1431328870370725,0.1643835616438356,1.1
2015-01-02,SPX,2100.445880549395,60,c,36.40344601683616,2000.4246481422808,0.03,0.1282398680075034,0.1643835616438356,1.05
2015-01-02,SPX,2000.424648142281,60,c,35.23707278737165,2000.4246481422808,0.03,0.1241310386146806,0.1643835616438356,1.0000000000000002
2015-01-02,SPX,1900.4034157351668,60,p,31.023733156771385,2000.4246481422808,0.03,0.1092885394224593,0.1643835616438356,0.9500000000000001
2015-01-02,SPX,1800.3821833280529,60,p,38.89920329404525,2000.4246481422808,0.03,0.1370317714899385,0.1643835616438356,0.9
2015-01-02,SPX,1700.3609509209386,60,p,35.445795268213594,2000.4246481422808,0.03,0.1248663136043337,0.1643835616438356,0.85
2015-01-02,SPX,1600.339718513825,60,p,34.83863879665332,2000.4246481422808,0.03,0.1227274593393617,0.1643835616438356,0.8000000000000002
2015-01-02,SPX,1500.3184861067105,60,p,42.99635116281311,2000.4246481422808,0.03,0.1514649573387456,0.1643835616438356,0.7499999999999999
2015-01-02,SPX,1400.2972536995962,60,p,43.70188685098498,2000.4246481422808,0.03,0.1539503759852083,0.1643835616438356,0.6999999999999998
2015-01-02,SPX,2600.552042584966,45,c,34.88803624062224,2000.4246481422808,0.03,0.1419143978271333,0.1232876712328767,1.3000000000000005
2015-01-02,SPX,2500.5308101778514,45,c,32.72931370846639,2000.4246481422808,0.03,0.1331333415901515,0.1232876712328767,1.2500000000000002
2015-01-02,SPX,2400.509577770737,45,c,30.239231952296333,2000.4246481422808,0.03,0.1230044122766769,0.1232876712328767,1.2
2015-01-02,SPX,2300.4883453636235,45,c,32.696297604092685,2000.4246481422808,0.03,0.1329990416674366,0.1232876712328767,1.1500000000000004
